Country,Character
USA,1
USA,2
USA,3
USA,4
USA,5
USA,6
USA,7
USA,8
USA,9
USA,10
USA,11
USA,12
USA,13
USA,14
USA,15
USA,16
USA,17
USA,18
USA,19
USA,20
USA,21
USA,22
USA,23
USA,24
USA,25
USA,1
USA,2
USA,3
USA,4
USA,5
USA,6
USA,7
USA,8
USA,9
USA,10
USA,11
USA,12
USA,13
USA,14
USA,15
USA,16
USA,17
USA,18
USA,19
USA,20
USA,21
USA,13
USA,14
USA,15
USA,16
USA,17
USA,18
USA,19
USA,20
USA,21
USA,22
USA,23
USA,24
USA,25
USA,20
USA,21
USA,22
USA,23
USA,24
USA,25
USA,20
USA,21
USA,22
USA,23
USA,24
USA,25
USA,20
USA,21
USA,22
USA,23
USA,24
USA,25
USA,20
USA,21
USA,22
USA,23
USA,24
USA,25
USA,20
USA,21
USA,22
USA,23
USA,24
USA,25
USA,20
USA,21
USA,22
USA,23
USA,24
USA,25
USA,20
USA,21
USA,22
USA,23
USA,24
USA,25
